Title,Text,Link,Date,Tickers_found,Direction of STI Movement,Percentage of STI Movement
Market update: STI up 0.71%,"Sembcorp Industries was seen with the most growth.The Straits Time Index closed at 0.71% up, at3,299.43on 25 February.Sembcorp Industries, Singtel, and Venture reported positive growth at 4.49%, 2.77% and 2.73%, respectively.Seen at the bottom were Comfort Del Gro at 1.39% down, OCBC Bank at 1.25% down, and UOB at 0.59% down.",https://sbr.com.sg/stocks/news/market-update-sti-071-0,2022-02-28T06:00:00+0800,"{'B26': 'Ban Leong', 'MQVW': 'Comfort 5xLongSG231115', 'THLW': 'Comfort 5xShortSG231115', 'C52': 'ComfortDelGro', 'DMUW': 'OCBC 5xLongSG221201', 'DFJW': 'OCBC 5xShortSG221201', 'O39': 'OCBC Bank', 'U96': 'Sembcorp Ind', 'S51': 'Sembcorp Marine', 'Z74': 'Singtel', 'Z77': 'Singtel 10', 'DBYW': 'Singtel 5xLongSG231214', 'DKMW': 'Singtel 5xShortSG230713', 'ERKW': 'SingtelMBeCW220915', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'U11': 'UOB', 'DHBW': 'UOB 5xLongSG230713', 'DOGW': 'UOB 5xLongSG240306', 'DEZW': 'UOB 5xShortSG221201', 'DSMW': 'UOB 5xShortSG240306', 'V03': 'Venture', 'DBHW': 'Venture 5xLongSG230713', 'DABW': 'Venture 5xShortSG220422', 'DVCW': 'Venture 5xShortSG230920'}",Positive,0.71%
"Market update: STI down 3,274.62","The entire Straits Times Index is in the red as Russia invades Ukraine.The Straits Times Index closed 3,274.62, down 3.49%, on 24 February.The entire index landed in the red, with Sembcorp Industries, Mapletree Industrial Trust, and Singtel having the least losses at -0.41%, -0.78%, and -1.17% respectively.On the other hand, the hardest hit stocks are SATS, UOB, and Singapore Airlines, with losses of -5.02%, -5.03%, and -6.26% respectively.",https://sbr.com.sg/stocks/news/market-update-sti-down-327462,2022-02-25T06:00:00+0800,"{'ME8U': 'Mapletree Ind Tr', 'S58': 'SATS', 'U96': 'Sembcorp Ind', 'S51': 'Sembcorp Marine', 'C6L': 'SIA', 'DSIW': 'SIA 5xLongSG220630', 'DKKW': 'SIA 5xLongSG230420', 'DTGW': 'SIA 5xLongSG230713', 'DHJW': 'SIA 5xShortSG220328', 'DRBW': 'SIA 5xShortSG240306', 'S59': 'SIA Engineering', 'Z74': 'Singtel', 'Z77': 'Singtel 10', 'DBYW': 'Singtel 5xLongSG231214', 'DKMW': 'Singtel 5xShortSG230713', 'ERKW': 'SingtelMBeCW220915', 'U11': 'UOB', 'DHBW': 'UOB 5xLongSG230713', 'DOGW': 'UOB 5xLongSG240306', 'DEZW': 'UOB 5xShortSG221201', 'DSMW': 'UOB 5xShortSG240306'}",Negative,
Market update: STI down 1.11%,"Yangzijiang Shipbuilding was seen with the most decline.The Straits Time Index closed at 1.11% down, at3,398.23on 22 February.No companies reported positive growth.Seen at the bottom were Yangzijiang Shipbuilding at 2.86% down, DairyFarm at 2.49% down, and SIA at 2.41% down.",https://sbr.com.sg/stocks/news/market-update-sti-down-111,2022-02-23T06:00:00+0800,"{'D01': 'DairyFarm USD', '5TJ': 'Far East', '1G6': 'No Signboard', 'C6L': 'SIA', 'DSIW': 'SIA 5xLongSG220630', 'DKKW': 'SIA 5xLongSG230420', 'DTGW': 'SIA 5xLongSG230713', 'DHJW': 'SIA 5xShortSG220328', 'DRBW': 'SIA 5xShortSG240306', 'S59': 'SIA Engineering', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'X1KW': 'YZJ 5xLongSG231115', '5YCW': 'YZJ 5xShortSG231115', 'BS6': 'YZJ Shipbldg SGD'}",Negative,1.11%
Market update: STI up 0.16%,"Frasers Logistics & Commercial Trust was seen with the most growth.The Straits Time Index closed at 0.16% up, at3,434.55on 21 February.Leading companies at the market’s close include Frasers Logistics & Commercial Trust at 1.42%, Singtel at 1.18%, and Mapletree Logistics Trust at 1.14%.Seen at the bottom were ThaiBev at 1.41% down, DairyFarm at 1.06% down, and CityDev at 0.68% down",https://sbr.com.sg/stocks/news/market-update-sti-016-0,2022-02-22T06:00:00+0800,"{'C09': 'CityDev', 'DQIW': 'CityDev 5xLongSG220331', 'DCLW': 'CityDev 5xLongSG220630', 'DEUW': 'CityDev 5xLongSG230404', 'DCSW': 'CityDev 5xShortSG220630', 'DXIW': 'CityDev 5xShortSG231214', 'D01': 'DairyFarm USD', '5TJ': 'Far East', 'ACV': 'Frasers HTrust', 'TQ5': 'Frasers Property', 'M44U': 'Mapletree Log Tr', 'Z74': 'Singtel', 'Z77': 'Singtel 10', 'DBYW': 'Singtel 5xLongSG231214', 'DKMW': 'Singtel 5xShortSG230713', 'ERKW': 'SingtelMBeCW220915', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'Y92': 'ThaiBev', 'QAHW': 'ThaiBev 5xLongSG231115', 'ELTW': 'ThaiBev 5xShortSG231115'}",Positive,0.16%
Market update: STI down 0.29%,"ThaiBev was seen with the most growth.The Straits Time Index closed at 0.29% down, at3,431.55on 18 February.Leading companies at the market’s close include ThaiBev at 2.9%, Mapletree Commercial Trust at 1.09%, and Mapletree Industrial Trust at 0.79%.Seen at the bottom were HongKong Land at 2.28% down, Sembcorp Industries at 1.55% down and Frasers Logistics & Commercial Trust at 1.4% down.",https://sbr.com.sg/stocks/news/market-update-sti-down-029,2022-02-21T06:00:00+0800,"{'ACV': 'Frasers HTrust', 'TQ5': 'Frasers Property', 'H30': 'Hong Fok', 'N2IU': 'Mapletree Com Tr', 'ME8U': 'Mapletree Ind Tr', 'U96': 'Sembcorp Ind', 'S51': 'Sembcorp Marine', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'Y92': 'ThaiBev', 'QAHW': 'ThaiBev 5xLongSG231115', 'ELTW': 'ThaiBev 5xShortSG231115'}",Negative,0.29%
Market update: STI up 0.29%,"Sembcorp Industries was seen with the most growth.The Straits Time Index closed at 0.29% up, at3,449.24on 17 February.Leading companies at the market’s close include Sembcorp Industries at 3.61%, SIA at 1.5%, and CapitaLand Integrated Commercial Trust at 1.43%.Seen at the bottom were Venture at 1.73% down, SGX at 1.43% down, and DBS at 0.73% down.",https://sbr.com.sg/stocks/news/market-update-sti-029-0,2022-02-18T06:00:00+0800,"{'9CI': 'CapitaLandInvest', 'D05': 'DBS', 'DQEW': 'DBS 5xLongSG230713', 'DKBW': 'DBS 5xLongSG240306', 'DCAW': 'DBS 5xShortSG220331', 'DTFW': 'DBS 5xShortSG221201', 'DLDW': 'DBS 5xShortSG240306', 'KUO': 'Intl Cement', 'U96': 'Sembcorp Ind', 'S51': 'Sembcorp Marine', 'S68': 'SGX', 'DGRW': 'SGX 5xLongSG220630', 'DGSW': 'SGX 5xShortSG220630', 'DYKW': 'SGX 5xShortSG230420', 'C6L': 'SIA', 'DSIW': 'SIA 5xLongSG220630', 'DKKW': 'SIA 5xLongSG230420', 'DTGW': 'SIA 5xLongSG230713', 'DHJW': 'SIA 5xShortSG220328', 'DRBW': 'SIA 5xShortSG240306', 'S59': 'SIA Engineering', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'V03': 'Venture', 'DBHW': 'Venture 5xLongSG230713', 'DABW': 'Venture 5xShortSG220422', 'DVCW': 'Venture 5xShortSG230920'}",Positive,0.29%
Market update: STI up 0.52%,"ThaiBev was seen with the most growth.The Straits Time Index closed at 0.52% up, at3,439.30on 15 February.Leading companies at the market’s close are ThaiBev at 2.21%, ComfortDelGro at 2.08%, and Venture at 1.65%.Seen at the bottom were Mapletree Commercial Trust at -1.62%, Keppel DC Reit at -0.91%, and Wilmar International at -0.84%.",https://sbr.com.sg/stocks/news/market-update-sti-052,2022-02-17T06:00:00+0800,"{'MQVW': 'Comfort 5xLongSG231115', 'THLW': 'Comfort 5xShortSG231115', 'FQJW': 'ComfortDel MBeCW220315', '9A3W': 'ComfortDel MBeCW221014', 'C52': 'ComfortDelGro', 'KUO': 'Intl Cement', 'BN4': 'Keppel Corp', 'AJBU': 'Keppel DC Reit', 'K71U': 'Keppel Reit', 'N2IU': 'Mapletree Com Tr', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'Y92': 'ThaiBev', 'QAHW': 'ThaiBev 5xLongSG231115', 'ELTW': 'ThaiBev 5xShortSG231115', 'V03': 'Venture', 'DBHW': 'Venture 5xLongSG230713', 'DABW': 'Venture 5xShortSG220422', 'DVCW': 'Venture 5xShortSG230920', 'DPBW': 'Wilmar 5xLongSG240306', 'DDBW': 'Wilmar 5xShortSG221201', 'DHGW': 'Wilmar 5xShortSG230825', 'F34': 'Wilmar Intl'}",Positive,0.52%
Market update: STI up 0.1%,"Wilmar International was seen with the most growth.The Straits Time Index closed at 0.1% up, at3,421.30on 15 February.Leading companies at the market’s close are Wilmar International at 4.85%, ThaiBev at 3.03%, and Mapletree Commercial Trust at 2.21%.Seen at the bottom were DBS at 1.8% down, Ascendas Reit at 1.41% down, and OCBC Bank at 0.6% down.",https://sbr.com.sg/stocks/market-update-sti-01,2022-02-15T17:18:19+0800,"{'A17U': 'Ascendas Reit', 'B26': 'Ban Leong', 'D05': 'DBS', 'DQEW': 'DBS 5xLongSG230713', 'DKBW': 'DBS 5xLongSG240306', 'DCAW': 'DBS 5xShortSG220331', 'DTFW': 'DBS 5xShortSG221201', 'DLDW': 'DBS 5xShortSG240306', 'KUO': 'Intl Cement', 'N2IU': 'Mapletree Com Tr', 'DMUW': 'OCBC 5xLongSG221201', 'DFJW': 'OCBC 5xShortSG221201', 'O39': 'OCBC Bank', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'Y92': 'ThaiBev', 'QAHW': 'ThaiBev 5xLongSG231115', 'ELTW': 'ThaiBev 5xShortSG231115', 'DPBW': 'Wilmar 5xLongSG240306', 'DDBW': 'Wilmar 5xShortSG221201', 'DHGW': 'Wilmar 5xShortSG230825', 'F34': 'Wilmar Intl'}",Positive,0.1%
Market update: STI up 0.28%,"HongKongLand was seen with the most growth.The Straits Time Index closed at 0.28% up, at3,429.77on 10 February.Leading companies at the market’s close are HongKongLand with 2.88%, CapitaLandInvest at 2.47%, and Mapletree Logistics Trust at 1.71%.Seen at the bottom were UOB at 0.79% down, Sembcorp Industries at 0.41% down, and DBS at 0.35% down.",https://sbr.com.sg/stocks/news/market-update-sti-028,2022-02-10T17:15:39+0800,"{'9CI': 'CapitaLandInvest', 'D05': 'DBS', 'DQEW': 'DBS 5xLongSG230713', 'DKBW': 'DBS 5xLongSG240306', 'DCAW': 'DBS 5xShortSG220331', 'DTFW': 'DBS 5xShortSG221201', 'DLDW': 'DBS 5xShortSG240306', 'H30': 'Hong Fok', 'M44U': 'Mapletree Log Tr', 'U96': 'Sembcorp Ind', 'S51': 'Sembcorp Marine', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'U11': 'UOB', 'DHBW': 'UOB 5xLongSG230713', 'DOGW': 'UOB 5xLongSG240306', 'DEZW': 'UOB 5xShortSG221201', 'DSMW': 'UOB 5xShortSG240306'}",Positive,0.28%
30 STI stocks attract $550m net institutional inflow,"The banks brought in the strongest inflows at ~45%.The Singapore Exchange (SGX) has reported that net institutional inflows into 30 Straits Times Index (STI) stocks during the first three trading days of the Year of the Tiger (3 to 7 February) amounted to $554b. This brought the 30 stocks' 2022 year-to-date (YTD) combined net institutional inflow to $1.42b.Banks, which comprise around 45% of the STI weights, have been amongst the strongest sectors worldwide over the past five weeks. DBS, OCBC, and UOB have averaged 15% returns in 2022 YTD. They had a combined $842m of net institutional inflows in January, followed by $343m of net institutional inflow over the first three sessions of February.Other than the banks, STI stocks with the highest net institutional inflows proportionate to their market cap in the 2022 YTD included Singapore Telecommunications, CapitaLand Integrated Commercial Trust, Singapore Exchange, Keppel Corporation, Wilmar International, Singapore Airlines, Jardine Matheson Holdings, Genting Singapore, Hongkong Land Holdings, City Developments, UOL Group, and SATS.Out of the 30 stocks, 21 generated positive returns over the five weeks, with six of the seven REITs declining over the period. Global REITs have declined 8% on the outlook for increased borrowing costs, which on the other hand, have supported global banks which have gained 7%. REITs represent 15% of the STI weights, while Banks represent 45% of the STI.",https://sbr.com.sg/stocks/in-focus/30-sti-stocks-attract-550m-net-institutional-inflow,2022-02-10T05:00:00+0800,"{'B26': 'Ban Leong', '9CI': 'CapitaLandInvest', 'C09': 'CityDev', 'D05': 'DBS', 'DQEW': 'DBS 5xLongSG230713', 'DKBW': 'DBS 5xLongSG240306', 'DCAW': 'DBS 5xShortSG220331', 'DTFW': 'DBS 5xShortSG221201', 'DLDW': 'DBS 5xShortSG240306', 'DUBW': 'Genting 5xLongSG230420', 'DQOW': 'Genting 5xShortSG220328', 'DQGW': 'Genting 5xShortSG240306', 'G13': 'Genting Sing', '586': 'Global Dragon', 'B73': 'Global Inv', 'AYN': 'Global Testing', 'H30': 'Hong Fok', 'KUO': 'Intl Cement', 'C07': 'Jardine C&C', 'J36': 'JMH USD', 'BN4': 'Keppel Corp', 'K71U': 'Keppel Reit', 'DMUW': 'OCBC 5xLongSG221201', 'DFJW': 'OCBC 5xShortSG221201', 'O39': 'OCBC Bank', 'S58': 'SATS', 'S68': 'SGX', 'DGRW': 'SGX 5xLongSG220630', 'DGSW': 'SGX 5xShortSG220630', 'DYKW': 'SGX 5xShortSG230420', 'C6L': 'SIA', 'DSIW': 'SIA 5xLongSG220630', 'DKKW': 'SIA 5xLongSG230420', 'DTGW': 'SIA 5xLongSG230713', 'DHJW': 'SIA 5xShortSG220328', 'DRBW': 'SIA 5xShortSG240306', 'S59': 'SIA Engineering', 'Z77': 'Singtel 10', 'DBYW': 'Singtel 5xLongSG231214', 'DKMW': 'Singtel 5xShortSG230713', 'ERKW': 'SingtelMBeCW220915', 'S63': 'ST Engineering', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'U11': 'UOB', 'DHBW': 'UOB 5xLongSG230713', 'DOGW': 'UOB 5xLongSG240306', 'DEZW': 'UOB 5xShortSG221201', 'DSMW': 'UOB 5xShortSG240306', 'U14': 'UOL', 'DPBW': 'Wilmar 5xLongSG240306', 'DDBW': 'Wilmar 5xShortSG221201', 'DHGW': 'Wilmar 5xShortSG230825', 'F34': 'Wilmar Intl'}",,
Singapore primed to be the new hotspot for SPAC IPOs,"SPACS accounted for over 75% of total SGX listings.The Lion City is likely to emerge as the new hotspot for special purpose acquisition company (SPAC) initial public offerings (IPOs), according to the latest report by GlobalData.In the Singapore Exchange (SGX), around 75% of the total listings and 98% of total capital raised during January 22 were made up of SPACs or blank-check companies.Three SPAC IPOs—Vertex Technology Acquisition Corp (VTAC), Pegasus Asia (Pegasus), and Novo Tellus Alpha Acquisition (Novo Tellus)—were also introduced by SGX. The three raised $520m during the month. All these three IPOs were subscribed seven to 36 times, which, according to GlobalData, reflects a strong investor sentiment.According to the GlobalData: ""SPAC is a quicker and more economical way for a company to go public. It is a shell company with no revenue-generating business and no prior operating history. It is necessary for a SPAC to announce the combination with a target operating company, referred to as a ‘de-SPAC’ transaction’, within 24 months of IPO listing and complete the transaction within 36 months.""“The emergence of SPAC IPOs in Singapore follows the implementation of new rules in September 2021 that enable blank-check companies to list on SGX’s mainboard. During the first phase of the COVID-19 pandemic, blank-check companies (SPACs) remained one of the [favourite] forms of fundraising in the US. This also led to an increase in interest in SPACs in Asia, with Singapore and Hong Kong relaxing rules to allow blank-check companies to get listed on the mainboards of bourses,” said Keshav Kumar Jha, Business Fundamentals Analyst, GlobalData.",https://sbr.com.sg/stocks/in-focus/singapore-primed-be-new-hotspot-spac-ipos,2022-02-09T05:00:00+0800,"{'F13': 'Fu Yu', '586': 'Global Dragon', 'B73': 'Global Inv', 'AYN': 'Global Testing', 'H30': 'Hong Fok', 'BAZ': 'Lion Asiapac', '1G6': 'No Signboard', 'NTA': 'Novo Tellus SPAC', 'NTSW': 'Novo Tellus SPAC W291231', 'PGS': 'Pegasus SPAC', 'PGEW': 'Pegasus SPAC W291231', 'S68': 'SGX', 'DGRW': 'SGX 5xLongSG220630', 'DGSW': 'SGX 5xShortSG220630', 'DYKW': 'SGX 5xShortSG230420', 'AWE': 'SP Corp', 'PA3': 'TA', 'CGOW': 'TA W220520', 'VT1': 'Vertex SPAC', 'VT2W': 'Vertex SPAC W291231'}",,
Market update: STI up 1.15%,"Venture was seen with the most growth.The Straits Time Index closed at 1.15% up, at3405.11on 8 February.Leading companies at the market’s close are Venture with 4.09%, DairyFarm at 3.99% and Yangzijiang Shipbuilding at 3.7%.Seen at the bottom were HongKongLand at 0.9% down and SATS at 0.25% down.",https://sbr.com.sg/stocks/news/market-update-sti-115,2022-02-08T17:19:17+0800,"{'D01': 'DairyFarm USD', '5TJ': 'Far East', 'H30': 'Hong Fok', 'S58': 'SATS', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'V03': 'Venture', 'DBHW': 'Venture 5xLongSG230713', 'DABW': 'Venture 5xShortSG220422', 'DVCW': 'Venture 5xShortSG230920', 'X1KW': 'YZJ 5xLongSG231115', '5YCW': 'YZJ 5xShortSG231115', 'BS6': 'YZJ Shipbldg SGD'}",Positive,1.15%
Market update: STI up 0.79%,"Jardine Matheson Holdingswas seen with the most growth.The Straits Time Index closed at 0.79% up, at3,357.61on 7 February.Leading companies at the market’s close are Jardine Matheson Holdings at 4.89%, SIA at 3.14%, and Yangzijiang Shipbuilding at 2.27%.Seen at the bottom were Mapletree Commercial Trust at 1.65% down, Keppel DC Reit at 1.38% down, and Mapletree Industrial Trust at 1.19% down.",https://sbr.com.sg/stocks/news/market-update-sti-079-0,2022-02-08T05:00:00+0800,"{'C07': 'Jardine C&C', 'J36': 'JMH USD', 'BN4': 'Keppel Corp', 'AJBU': 'Keppel DC Reit', 'K71U': 'Keppel Reit', 'N2IU': 'Mapletree Com Tr', 'ME8U': 'Mapletree Ind Tr', 'C6L': 'SIA', 'DSIW': 'SIA 5xLongSG220630', 'DKKW': 'SIA 5xLongSG230420', 'DTGW': 'SIA 5xLongSG230713', 'DHJW': 'SIA 5xShortSG220328', 'DRBW': 'SIA 5xShortSG240306', 'S59': 'SIA Engineering', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'X1KW': 'YZJ 5xLongSG231115', '5YCW': 'YZJ 5xShortSG231115', 'BS6': 'YZJ Shipbldg SGD'}",Positive,0.79%
"Yangzijiang, OCBC, and Nanofilm Tech top buyback consideration tally for January","26 primary-listed stocks bought back their shares for a total consideration of $52.9m.Leading the buyback consideration tally in January 2022 were Yangzijiang, OCBC, and Nanofilm Tech.Yangzijiang bought back 10 million shares at an average price of $1.28 per share over two sessions in January. The preceding nine buybacks between November and December 2021 allowed the group to buy back 0.9% of its issued shares.OCBC and Nanofilm Tech, meanwhile, had average share prices of $12.30 and $3.45, respectively.Overall, 26 primary-listed stocks bought back their shares for a total consideration of $52.9m. The recorded value is lower on a monthly basis when compared to December 2021’s $216.4m, whilst higher on a yearly basis than the $30m in January 2020.Of the $896.1m in total market capitalisation for all stocks listed on SGX at the end of the month, $659.9b was represented by primary-listed stocks.The total consideration also amounted to 0.008% of the total market value.In the same month, the Straits Time Index gained 4% to 3,249.59, and was also ranked as APAC’s most defensive stock benchmark for the month. The FTSE APAC Index, meanwhile, declined 3.9% in Singapore dollars.",https://sbr.com.sg/stocks/news/yangzijiang-ocbc-and-nanofilm-tech-top-buyback-consideration-tally-january,2022-02-07T09:49:35+0800,"{'5AU': 'AP Oil', '5RA': 'AP Strategic', 'CLN': 'APAC Realty', 'MZH': 'Nanofilm', '1G6': 'No Signboard', 'DMUW': 'OCBC 5xLongSG221201', 'DFJW': 'OCBC 5xShortSG221201', 'O39': 'OCBC Bank', 'S68': 'SGX', 'DGRW': 'SGX 5xLongSG220630', 'DGSW': 'SGX 5xShortSG220630', 'DYKW': 'SGX 5xShortSG230420', 'XNMW': 'STI 2850MBePW220428', 'YTCW': 'STI 3050MBePW220428', 'MWLW': 'STI 3100MBeCW220428', 'XHDW': 'STI 3300MBeCW220428', 'ES3': 'STI ETF', 'X1KW': 'YZJ 5xLongSG231115', '5YCW': 'YZJ 5xShortSG231115', 'BS6': 'YZJ Shipbldg SGD'}",,
